Time,Sample number,Temperature (°C),Humidity (%RH),Sensor response (Ohm),PM response,Temperature MFC (°C),Nanofiber current (mA),Nanofiber voltage (V)
2020-07-10 17:38:39.037710,164,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:39.279348,165,20.9,25.4,,,22.41,00.0006E-03,-04.096E+00
2020-07-10 17:38:39.548941,166,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:39.790780,167,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:40.064763,168,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:40.293652,169,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:40.567729,170,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:40.795581,171,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:41.076790,172,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:41.293680,173,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:41.533853,174,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:41.797604,175,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:42.042229,176,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:42.307585,177,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:42.563680,178,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:42.824612,179,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:43.056770,180,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:43.290871,181,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:43.547635,182,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:43.795207,183,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:44.059969,184,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:44.296985,185,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:44.572218,186,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:44.801347,187,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:45.084701,188,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:45.296335,189,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:45.556593,190,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:45.807105,191,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:46.053910,192,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:46.311404,193,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:46.566628,194,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:46.826502,195,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:47.065323,196,20.9,25.4,,,22.42,00.0001E-03,-04.096E+00
2020-07-10 17:38:47.340565,197,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:47.564384,198,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:47.811010,199,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:48.070978,200,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:48.304396,201,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:48.576147,202,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:48.817155,203,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:49.086573,204,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:49.315256,205,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:49.593383,206,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:49.817837,207,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:50.101436,208,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:50.312712,209,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:50.570038,210,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
2020-07-10 17:38:50.827028,211,20.9,25.4,,,22.43,00.0001E-03,-04.096E+00
